lab_name,office,fy25_enacted_k,fy26_enacted_k,fy27_request_k
Livermore Field Office,Weapons Activities,300,0,0
Livermore Field Office,Federal Salaries and Expenses,18104,16922,17737
Los Alamos National Laboratory,Weapons Activities,4123791,4336209,6033093
Los Alamos National Laboratory,Defense Nuclear Nonproliferation,409287,377369,345415
Los Alamos National Laboratory,Science,83928,84714,43004
Los Alamos National Laboratory,Critical Minerals and Energy Innovation,10767,9682,4191
Los Alamos National Laboratory,Electricity,6949,5089,5300
Los Alamos National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",800,1000,681
Los Alamos National Laboratory,Hydrocarbons and Geothermal Energy,27888,13398,10460
Los Alamos National Laboratory,Nuclear Energy,17178,15820,14555
Los Alamos National Laboratory,Nuclear Waste,500,500,500
Los Alamos National Laboratory,Other Defense Activities,481,540,540
Los Alamos National Laboratory,Defense Environmental Cleanup,304479,280937,295937
Los Alamos Field Office,Weapons Activities,14,0,25
Los Alamos Field Office,Federal Salaries and Expenses,21207,18556,20367
Michigan State University,Science,0,15000,0
Moab Site,Non-Defense Environmental Cleanup,74420,64265,64265
Mound Site,Other Defense Activities,10274,8729,7042
National Energy Technology Lab,Weapons Activities,110023,47896,143184
National Energy Technology Lab,Defense Nuclear Nonproliferation,175,1187,920
National Energy Technology Lab,Federal Salaries and Expenses,695,695,695
National Energy Technology Lab,Critical Minerals and Energy Innovation,57811,50184,59390
National Energy Technology Lab,Electricity,16314,16366,4607
National Energy Technology Lab,Grid Deployment Office,0,0,-1000
National Energy Technology Lab,"Cybersecurity, Energy Security, and Emergency Response",19843,15927,14318
National Energy Technology Lab,Hydrocarbons and Geothermal Energy,568440,478828,406628
National Energy Technology Lab,Petroleum Reserves,300,300,300
National Energy Technology Lab,Departmental Administration,100,150,150
National Energy Technology Lab,Other Defense Activities,1991,2007,2011
National Energy Technology Lab,Title XVII Loan Guarantee,500,300,300
National Laboratory of the Rockies,Science,12491,10469,4371
National Laboratory of the Rockies,Critical Minerals and Energy Innovation,449673,465667,213000
National Laboratory of the Rockies,Electricity,32511,10716,10550
National Laboratory of the Rockies,Grid Deployment Office,0,0,-1000
National Laboratory of the Rockies,"Cybersecurity, Energy Security, and Emergency Response",6193,6958,5309
National Laboratory of the Rockies,Hydrocarbons and Geothermal Energy,37557,15368,12647
National Laboratory of the Rockies,Nuclear Energy,186,107,0
National Laboratory of the Rockies,Departmental Administration,500,500,500
National Laboratory of the Rockies,Office of Technology Commercialization,3540,0,0
National Laboratory of the Rockies,Title XVII Loan Guarantee,800,300,300
National Laboratory of the Rockies,Advanced Technology Vehicles Manufacturing Loan,100,0,0
Naval Petroleum Reserve No 1,Petroleum Reserves,11010,11010,11000
Naval Reactors Facility,Weapons Activities,709,1530,859
Naval Reactors Facility,Naval Reactors,443771,677218,957722
Naval Reactors Laboratory Field Office,Naval Reactors,17460,17460,20383
Naval Research Laboratory,Weapons Activities,2745,2900,3650
Nevada Field Office,Weapons Activities,1561,1475,1318
Nevada Field Office,Defense Nuclear Nonproliferation,415,410,455
Nevada Field Office,Federal Salaries and Expenses,19242,16783,17839
Nevada Field Office,Nuclear Energy,1880,1675,1675
Nevada Field Office,Defense Environmental Cleanup,2610,2717,2750
Nevada National Security Site,Weapons Activities,746357,688341,1210828
Nevada National Security Site,Defense Nuclear Nonproliferation,102127,98918,113075
Nevada National Security Site,Federal Salaries and Expenses,0,3,3
Nevada National Security Site,Hydrocarbons and Geothermal Energy,25,25,26
Nevada National Security Site,Defense Environmental Cleanup,58200,61835,59659
Nevada Operations Office,Defense Environmental Cleanup,5177,3000,5176
NNSA Albuquerque Complex,Weapons Activities,731597,1128182,909127
NNSA Albuquerque Complex,Defense Nuclear Nonproliferation,138262,147051,166799
NNSA Albuquerque Complex,Federal Salaries and Expenses,5900,5900,5900
NNSA Albuquerque Complex,Departmental Administration,6984,4820,5570
NNSA Albuquerque Complex,Other Defense Activities,300,300,300
NNSA Albuquerque Complex,Defense Environmental Cleanup,4616,6105,6179
Oak Ridge Institute for Science and Education,Weapons Activities,0,17,0
Oak Ridge Institute for Science and Education,Defense Nuclear Nonproliferation,3662,3495,4248
Oak Ridge Institute for Science and Education,Science,4538,4841,2477
