lab_name,science_subprogram,fy25_enacted_k,fy26_enacted_k,fy27_request_k
Sandia National Laboratories,Biological and Environmental Research,15929,16904,3214
Sandia National Laboratories,Fusion Energy Sciences,2285,2285,2384
Sandia National Laboratories,High Energy Physics,85,0,0
Savannah River National Laboratory,Basic Energy Sciences,1100,1100,880
Savannah River National Laboratory,Fusion Energy Sciences,2000,2000,0
SLAC National Accelerator Laboratory,Basic Energy Sciences,458735,483041,369387
SLAC National Accelerator Laboratory,Biological and Environmental Research,5100,4373,3208
SLAC National Accelerator Laboratory,Fusion Energy Sciences,6585,6585,7133
SLAC National Accelerator Laboratory,High Energy Physics,86403,82734,73242
SLAC National Accelerator Laboratory,Nuclear Physics,1166,1166,516
SLAC National Accelerator Laboratory,Accelerator R&D and Production,1284,0,0
SLAC National Accelerator Laboratory,Science Laboratories Infrastructure,27765,25328,18075
SLAC National Accelerator Laboratory,Safeguards and Security - SC,3997,3997,3997
SLAC Site Office,Program Direction - SC,2573,2566,2288
Thomas Jefferson National Accelerator Facility,Advanced Scientific Computing Research,669,669,0
Thomas Jefferson National Accelerator Facility,Basic Energy Sciences,200,200,0
Thomas Jefferson National Accelerator Facility,Fusion Energy Sciences,0,0,500
Thomas Jefferson National Accelerator Facility,High Energy Physics,0,350,766
Thomas Jefferson National Accelerator Facility,Nuclear Physics,181040,198795,209908
Thomas Jefferson National Accelerator Facility,Accelerator R&D and Production,757,0,0
Thomas Jefferson National Accelerator Facility,Science Laboratories Infrastructure,11000,26000,0
Thomas Jefferson National Accelerator Facility,Safeguards and Security - SC,3167,3667,3667
Thomas Jefferson Site Office,Program Direction - SC,2541,2407,2105
Y-12 National Security Complex,Safeguards and Security - SC,275,0,0
Other,Advanced Scientific Computing Research,144234,150966,139813
Other,Basic Energy Sciences,406213,364007,212623
Other,Biological and Environmental Research,178651,117753,34582
Other,Fusion Energy Sciences,459564,507801,534183
Other,High Energy Physics,213830,192517,133276
Other,Nuclear Physics,206805,176547,156925
Other,Isotope R&D and Production,169636,170000,168572
Other,Accelerator R&D and Production,7753,0,0
Other,Safeguards and Security - SC,0,2305,0
Other,Program Direction - SC,134256,135971,125758
Undesignated LPI,Advanced Scientific Computing Research,100963,119970,112458
Undesignated LPI,Basic Energy Sciences,312203,252157,181151
Undesignated LPI,Biological and Environmental Research,83456,137534,82678
Undesignated LPI,Fusion Energy Sciences,0,0,3000
Undesignated LPI,High Energy Physics,50835,79620,30394
Undesignated LPI,Nuclear Physics,63768,70190,66474
Undesignated LPI,Accelerator R&D and Production,5435,0,0
Undesignated LPI,Workforce Development for Teachers & Scientists,31000,32000,30000
Undesignated LPI,Science Laboratories Infrastructure,3200,4654,3000
Undesignated LPI,Safeguards and Security - SC,86081,82497,97302
